#n_points	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec	gsl_r_init	gsl_r_exec	gsl_c_init	gsl_c_exec	fftpack_r_init	fftpack_r_exec	fftpack_c_init	fftpack_c_exec
256		0.0003533652	1.08E-05	3.89E-05	1.03E-05	8.73E-06	4.87E-05	1.12E-05	4.93E-06	0.0005164914	5.72E-05	1.39E-05	4.96E-06	0.0008765599	1.62E-05	4.52E-05	6.24E-06
1024		0.0007881355	2.89E-05	3.99E-05	2.87E-05	2.81E-05	0.000106397	1.43E-05	2.14E-05	0.0005124809	6.03E-05	4.71E-05	1.87E-05	0.0008641209	3.45E-05	7.28E-05	1.98E-05
4096		0.001072598	8.77E-05	6.05E-05	0.0001167472	0.0001213087	0.0003860432	4.83E-05	9.11E-05	0.0006436686	0.0001064981	0.0001384636	8.82E-05	0.00084	7.37E-05	0.0001704849	9.16E-05
16384		0.001499236	0.0003063391	0.0001370522	0.000495118	0.0005068615	0.001479532	0.0001826415	0.0003697242	0.000744085	0.0004035419	0.0005263755	0.0003857242	0.0010486339	0.0002787171	0.0005541785	0.0003806563
65536		0.002318428	0.001518768	0.000281993	0.002683879	0.002114295	0.005750119	0.0006816549	0.002181388	0.001378142	0.001829383	0.002053131	0.002183893	0.001622614	0.0011302	0.002040062	0.002192799
262144		0.004783915	0.006946493	0.0006393466	0.01398687	0.01544112	0.02423374	0.001878535	0.01287995	0.004088179	0.00889305	0.008257155	0.01263194	0.003671258	0.005326661	0.007743837	0.01300578
1048576		0.009818106	0.02910512	0.001321291	0.05903007	0.05401391	0.1027802	0.006685158	0.04938118	0.01423371	0.05601294	0.03264701	0.04932495	0.01155124	0.02159294	0.02492618	0.04942208
4194304		0.04039604	0.1503531	0.001336751	0.3894622	0.3271069	0.4526166	0.03042418	0.3675205	0.05738604	0.5521879	0.128919	0.3677557	0.0391026	0.1760882	0.1200798	0.3674806
16777216	0.1474386	0.8922293	0.001508319	2.118608	1.408285	1.0057555	0.1534791	2.038835	0.22646	3.342028	0.5157937	2.039561	0.1646397	0.7377064	0.4787594	2.044738
67108864	0.5719737	4.181505	0.001710352	9.140094	6.393542	5.0543	0.720118	8.532829	9.16368285714	16.34448	2.066213	8.537649	0.6723007	3.272527	1.921845	8.554986
