#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
256	0.0003510439	5.95E-05	0.000280481	4.00E-05
1024	0.0002017673	6.77E-05	0.0003061906	5.16E-05
4096	0.0002027785	8.16E-05	0.0002829099	8.63E-05
16384	0.0002230597	0.000162767	0.0003066477	0.0002058503
65536	0.0003519378	0.0004329414	0.0003815184	0.000708216
262144	0.0004802076	0.001467488	0.0005060486	0.002627987
1048576	0.0005095968	0.008188451	0.0005713344	0.009739656
4194304	0.0006017136	0.0407115	0.0007710704	0.07679151
16777216	0.0007566184	0.1611054	0.001364698	0.3046098
67108864	0.001919791	0.6487237	0.002893338	1.228206
