#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
257	0.0002406218	5.17E-05	0.0008392107	5.21E-05
1021	0.0002463845	5.75E-05	0.0008343218	6.25E-05
4093	0.000288271	8.83E-05	0.0003790024	9.91E-05
16381	0.0004448826	0.0001645364	0.0004708059	0.0002181708
65521	0.0007456212	0.0004796793	0.0008339571	0.0007818796
262139	0.0009707197	0.001807779	0.001061588	0.002717827
1048573	0.001750351	0.009011209	0.001787922	0.01066453
4194301	0.005561831	0.04517784	0.004725134	0.08121181
16777213	0.01672492	0.1805156	0.01300403	0.3225643
67108859	0.05385011	0.7198635	0.04931995	1.283234
