#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
210	0.0002115716	5.88E-05	0.0003084933	3.95E-05
1260	0.0002101559	6.36E-05	0.0003027886	6.44E-05
4410	0.0002245705	9.00E-05	0.000316512	0.0001000618
15750	0.0002138366	0.0001502208	0.0002998595	0.0001856843
66150	0.0003786987	0.0004409183	0.0004585552	0.0007069702
257250	0.0004758907	0.001784951	0.0005057829	0.002413977
1080450	0.0005146256	0.007137695	0.0005493489	0.009593999
4321800	0.0005545095	0.04249717	0.0007037475	0.08037399
15435000	0.0009112956	0.1496065	0.001116858	0.28193
64827000	0.00175779	0.6247667	0.002778783	1.177776
