#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
210	0.001602937	0.0001253642	0.001251249	8.94E-05
1260	0.001564776	0.0002449826	0.001470619	0.0002139267
4410	0.001529954	0.0005453526	0.001677183	0.000557022
15750	0.001789418	0.001621517	0.001341301	0.001796356
66150	0.003220491	0.006435129	0.002734079	0.007289561
257250	0.004911007	0.02507478	0.00408594	0.02788677
1080450	0.01212339	0.1058612	0.01146684	0.1154858
4321800	0.03988006	0.4255681	0.03904731	0.5021774
15435000	0.1329093	1.523431	0.1334504	1.780218
64827000	0.5404839	6.380733		
