#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
256	0.0685492	7.40E-05	0.07776707	6.65E-05
1024	0.07181982	9.84E-05	0.08069155	9.32E-05
4096	0.07272728	0.0001388718	0.08219604	0.0001340339
16384	0.07210447	0.0002665223	0.07768773	0.0002781421
65536	0.07261852	0.000730923	0.08276998	0.0009975042
262144	0.07801798	0.002480141	0.08754404	0.003087926
1048576	0.07830893	0.007721932	0.08775516	0.0109837
4194304	0.07844816	0.03649659	0.0887428	0.05773826
16777216	0.07084936	0.1300922	0.08063846	0.2244778
67108864	0.06697157	0.5109408	0.07162127	0.8883197
