#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
257	0.06560101	0.000250481	0.06635653	0.0001527505
1021	0.06590342	0.0001830093	0.06551498	0.000160919
4093	0.06577363	0.0002185114	0.06387205	0.0002176269
16381	0.06583699	0.0003039485	0.06596062	0.0004066449
65521	0.06642389	0.0006600078	0.06653165	0.0009150537
262139	0.06695368	0.00188335	0.06643621	0.002648594
1048573	0.07021615	0.006532225	0.07015283	0.009524534
4194301	0.0662711	0.03275423	0.06706937	0.05114312
16777213	0.06598141	0.1278859	0.06396219	0.2020043
67108859	0.06647785	0.5098971	0.07316003	0.8036811
