#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
210	0.07467784	0.0001010906	0.08347706	8.00E-05
1260	0.07284292	0.0001335153	0.08291145	0.0001223907
4410	0.07747866	0.0002121727	0.08456704	0.000209198
15750	0.07614823	0.0003007109	0.08568796	0.0003387704
66150	0.08165178	0.0009449107	0.09286177	0.001057487
257250	0.08074049	0.002530031	0.09422403	0.003175489
1080450	0.08373309	0.007902989	0.09364015	0.01125328
4321800	0.06901365	0.03343245	0.08857296	0.05979993
15435000	0.0674099	0.1179356	0.08770619	0.2068014
64827000	0.06710938	0.4874633	0.08958045	0.8475572
