# N	CPU_R	CPU_C	GPU_R	GPU_R
256	1.08E-05	1.03E-05	5.95E-05	4.00E-05
1024	2.89E-05	2.87E-05	6.77E-05	5.16E-05
4096	8.77E-05	0.0001167472	8.16E-05	8.63E-05
16384	0.0003063391	0.000495118	0.000162767	0.0002058503
65536	0.001518768	0.002683879	0.0004329414	0.000708216
262144	0.006946493	0.01398687	0.001467488	0.002627987
1048576	0.02910512	0.05903007	0.008188451	0.009739656
4194304	0.1503531	0.3894622	4.07E-02	0.07679151
16777216	8.92E-01	2.118608	0.1611054	0.3046098
67108864	4.18E+00	9.140094	0.6487237	1.228206
