#n_points	kokkos_mt_r	kokkos_mt_c	kokkos_gpu_r	kokkos_gpu_c
256	0.0025308069	0.0046691038	4.29E-05	6.33E-05
1024	0.0027934066	8.29E-06	4.95E-05	7.20E-05
4096	0.0015265592	0.0028653853	0.0014986323	0.0020106962
16384	0.001512524	0.0053564277	0.0016913492	0.0011412759
65536	0.0004310928	0.0014197553	0.0005116551	0.0008516096
262144	0.001599302	0.001559817	0.001887734	0.003232717
1048576	0.006663695	0.007195962	0.007313638	0.01197966
4194304	0.03376247	0.05599909	0.02682859	0.04449193
16777216	0.1244091	0.2039303	0.1048181	0.174438
67108864	0.479776	0.7994784	0.4203687	0.6925047
