#n_points	cpu_r	cpu_c	openmp_mt_r	openmp_mt_c	openmp_gpu_r	openmp_gpu_c
256	3.58E-06	4.41E-06	7.82E-07	8.89E-07	8.68E-07	8.75E-07
1024	2.90E-05	2.54E-05	4.26E-06	4.92E-06	4.98E-06	6.26E-06
4096	7.66E-05	8.96E-05	1.51E-05	1.90E-05	1.80E-05	1.81E-05
16384	0.000225883	0.0003726332	4.12E-05	4.88E-05	4.91E-05	4.86E-05
65536	0.0006499263	0.001276859	0.0001290589	0.0002172834	0.000146448	0.0002125681
262144	0.00231192	0.00421066	0.0005421138	0.0008139276	0.0005253202	0.0007877715
1048576	0.008280145	0.01572035	0.002105474	0.003299786	0.002166341	0.003254007
4194304	0.03215794	0.06700668	0.00868784	0.01317998	0.008993119	0.01305172
16777216	0.1262979	0.2664231	0.03504552	0.05308155	0.03635863	0.05280166
67108864	0.5006595	1.037456	0.1407148	0.2150794	0.1458742	0.2137073
