#n_points	cpu_r	cpu_c	cuda_r	cuda_c	cuda_streams_r	cuda_streams_c
256	4.2805E-06	2.12E-06	0.10196355	0.0002688588	0.006085653	0.007102958
1024	9.5857E-06	5.80E-06	0.10249925	0.0002842717	0.005939039	0.007078346
4096	4.16324E-05	2.25E-05	0.10105426	0.0003352862	0.00578778	0.006628972
16384	0.0001996055	0.0001011987	0.10244155	0.0005209558	0.006143641	0.006972999
65536	0.0007423511	0.0005031666	0.10799202	0.001531581	0.007153036	0.007530362
262144	0.002887418	0.002527383	0.10364247	0.006023875	0.008319208	0.01087258
1048576	0.00870474	0.01189511	0.1087313	0.02223593	0.01438975	0.02119157
4194304	0.033948	0.06753313	0.1543727	0.10000845	0.04452568	0.06933183
16777216	0.1331998	0.2643337	0.3213113	0.3873063	0.1367527	0.2200907
67108864	0.5341692	1.05701	0.9705419	1.550446	0.4637543	1.549938
