#n_points	cpu_r	cpu_c	cuda_r	cuda_c	cuda_streams_r	cuda_streams_c
257	4.51E-06	2.14E-06	0.10721231	0.0002904539	0.005811984	0.006999156
1021	1.03E-05	5.83E-06	0.09859734	0.0002896623	0.006013171	0.00712498
4093	4.03E-05	1.98E-05	0.10070043	0.0004274658	0.005968405	0.007083396
16381	0.000151512	9.23E-05	0.10153167	0.0005355316	0.005939552	0.007110555
65521	0.0007415305	0.0004386892	0.1017254	0.001387205	0.006491472	0.0078728
262139	0.002727622	0.002622534	0.10254056	0.005573407	0.008399157	0.01066263
1048573	0.008759209	0.01185971	0.1069283	0.0206028	0.01405026	0.02258076
4194301	0.03405406	0.06735508	0.1556641	0.09956062	0.04389346	0.06782406
16777213	0.1327558	0.2626324	0.3169316	0.3865375	0.1313566	0.2138268
67108859	0.5274213	1.028027	0.9562838	1.528429	0.465752	1.488821
