#n_points	cpu_r	cpu_c	cuda_r	cuda_c	cuda_streams_r	cuda_streams_c
210	2.35E-06	1.95E-06	0.08765674	0.0002816102	0.006431802	0.007086074
1260	1.16E-05	7.10E-06	0.0847175	0.0003036253	0.006279942	0.007370084
4410	3.53E-05	2.30E-05	0.0839607	0.0003435814	0.006334287	0.007306848
15750	0.0001278531	8.56E-05	0.08458297	0.000599149	0.006544074	0.007626887
66150	0.0005736068	0.0004186279	0.08404852	0.001331987	0.006447979	0.008114191
257250	0.002355945	0.002525976	0.08673527	0.006493921	0.008226539	0.01066753
1080450	0.008963353	0.01209504	0.09532514	0.02258731	0.01452309	0.02120684
4321800	0.03693645	0.07076362	0.1414874	0.1040055	0.05060396	0.08436444
15435000	0.1231669	0.2459865	0.2861961	0.358869	0.1237642	0.2006753
64827000	0.5086758	1.004566	0.9130231	1.478545	0.4550228	1.43196
