#n_points	opencl_r	opencl_c	opencl_queues_r	opencl_queues_c
256	0.000221259	0.0002259783	0.0003124273	0.0004368237
1024	0.0002342351	0.0002479054	0.0003260614	0.0004249446
4096	0.0003573956	0.0003151896	0.0003777466	0.0006068372
16384	0.0005626529	0.00049138	0.0005083536	0.0007061092
65536	0.001492142	0.001434895	0.0010152077	0.001644121
262144	0.005425059	0.005541289	0.003318963	0.005497275
1048576	0.01871943	0.01590221	0.01045406	0.02345194
4194304	0.07396167	0.1127275	0.06783935	0.1151444
16777216	0.2910086	0.4485144	0.2656676	0.4497266
67108864	1.145637	1.752546	1.035406	1.758649
