#n_points	opencl_r	opencl_c	opencl_queues_r	opencl_queues_c
257	0.0002232527	0.0004098393	0.0005467789	0.0003813842
1021	0.0002320572	0.0002363758	0.0003162377	0.0003898119
4093	0.0003183436	0.0003164174	0.0003628318	0.0004527646
16381	0.000570947	0.000587104	0.0006516862	0.000701289
65521	0.001598899	0.001807656	0.001055782	0.001645513
262139	0.005781679	0.005280125	0.00340327	0.005325341
1048573	0.02106169	0.01763799	0.01037986	0.02088529
4194301	0.08064353	0.1207432	0.06748602	0.1138437
16777213	0.3135471	0.4682891	0.2613224	0.4426578
67108859	1.237152	1.853582	1.034587	1.755492
