#n_points	opencl_r	opencl_c	opencl_queues_r	opencl_queues_c
210	0.0002435054	0.0002260327	0.0004509991	0.0008093709
1260	0.0003603871	0.0002500975	0.000390866	0.0003981053
4410	0.0005861657	0.0003157105	0.0003669315	0.0004615153
15750	0.0005123923	0.0005298741	0.0005066476	0.000836819
66150	0.001575011	0.001420388	0.001053191	0.001682211
257250	0.005244023	0.004476961	0.003298973	0.005455299
1080450	0.0197486	0.01567275	0.01059003	0.02394714
4321800	0.07663901	0.116604	0.06954061	0.1174764
15435000	0.2658299	0.4100299	0.241108	0.4107246
64827000	1.08564	1.686092	0.9856762	1.686266
